Patrice Doncaster,pdoncaster24@dagondesign.com,7622.82,Sales
Robbin Sibyllina,rsibyllina25@mlb.com,6670.82,Marketing
Angelia Goeff,agoeff26@shinystat.com,3794.23,Engineering
Giulietta Stanyan,gstanyan27@yahoo.com,6182.17,Accounting
Ellissa Cramond,ecramond28@1und1.de,4232.58,Support
Hana Tolworthy,htolworthy29@fastcompany.com,9818.89,Legal
Bekki Trevaskus,btrevaskus2a@wikimedia.org,4665.19,Research and Development
Emanuele Shearmur,eshearmur2b@cafepress.com,2317.46,Research and Development
Kimble Isakovic,kisakovic2c@so-net.ne.jp,2557.46,Engineering
Johnnie Fyndon,jfyndon2d@usa.gov,6397.73,Engineering
Annabel Dearlove,adearlove2e@123-reg.co.uk,5299.93,Training
Mara Emeline,memeline2f@answers.com,2533.45,Legal
Ronald Capel,rcapel2g@upenn.edu,9184.20,Marketing
Maisey Corkish,mcorkish2h@intel.com,6309.36,Sales
Pauletta Divis,pdivis2i@wikimedia.org,1058.54,Accounting
Kendra Malshinger,kmalshinger2j@pbs.org,3832.06,Business Development
Gaby Dellenty,gdellenty2k@g.co,6368.80,Business Development
Aron Collumbine,acollumbine2l@ft.com,4740.71,Legal
Amerigo Birchill,abirchill2m@acquirethisname.com,1053.27,Product Management
Zorine Krochmann,zkrochmann2n@odnoklassniki.ru,8448.05,Support
Julio Paolo,jpaolo2o@usatoday.com,6550.89,Sales
Malva Wickey,mwickey2p@google.com,8613.87,Support
Kassandra Telezhkin,ktelezhkin2q@microsoft.com,3713.03,Marketing
Errick Wykes,ewykes2r@bluehost.com,2815.70,Training
